iter	Logloss
0	0.6831445144
1	0.6765302145
2	0.6674641921
3	0.6578763907
4	0.6484381969
5	0.6401877312
6	0.6310397937
7	0.6230498231
8	0.6165708854
9	0.6078110291
10	0.6018948968
11	0.5940043605
12	0.5862398606
13	0.5785611685
14	0.5733112234
15	0.5652669347
16	0.5573519056
17	0.5495700424
18	0.5419155084
19	0.5364923798
20	0.5317530449
21	0.5265094913
22	0.5200746472
23	0.5138681393
24	0.5082130501
25	0.5027471597
26	0.4966894296
27	0.4907040894
28	0.4840259002
29	0.4782482431
30	0.472538297
31	0.4669138079
32	0.4633236986
33	0.4582721408
34	0.4526097683
35	0.446558221
36	0.4406049068
37	0.4347479412
38	0.4289841973
39	0.4243052327
40	0.4193481551
41	0.4154698849
42	0.4100174354
43	0.4059186211
44	0.4022373695
45	0.3970070711
46	0.3918580275
47	0.3876995032
48	0.3838177965
49	0.3800761929
50	0.3767029185
51	0.3722756092
52	0.3681420661
53	0.3638347158
54	0.360064816
55	0.3563817304
56	0.3524806958
57	0.3480543357
58	0.3449006998
59	0.3412119013
60	0.33696582
61	0.3339109054
62	0.3312639181
63	0.3282842246
64	0.3250941336
65	0.321106278
66	0.3179896864
67	0.3141150475
68	0.3107889914
69	0.3077757978
70	0.3053952135
71	0.3026934931
72	0.2993793625
73	0.2961117877
74	0.2930357754
75	0.2900414788
76	0.2875714165
77	0.2844672341
78	0.2820865466
79	0.2787791353
80	0.2755279862
81	0.2729794085
82	0.2705065138
83	0.2676606006
84	0.2654168365
85	0.2635933138
86	0.2605774953
87	0.2580014215
88	0.2560114574
89	0.254218952
90	0.2521390525
91	0.2495545412
92	0.2472287841
93	0.2444633784
94	0.2426688178
95	0.2405348122
96	0.238411516
97	0.2363917908
98	0.2350852524
99	0.2325019091
100	0.229957568
101	0.2285185708
102	0.2260330652
103	0.2235883383
104	0.2217373665
105	0.219359289
106	0.2170159381
107	0.2147081322
108	0.2127720633
109	0.2107385145
110	0.2087323173
111	0.2070036542
112	0.2050425972
113	0.2031094845
114	0.2015606772
115	0.1998142967
116	0.1979587789
117	0.1967963817
118	0.1956003801
119	0.1938862365
120	0.1921887226
121	0.1905107544
122	0.1885839609
123	0.1870844433
124	0.1861709907
125	0.1847073218
126	0.1828634911
127	0.1813040972
128	0.1801698494
129	0.1790084919
130	0.1772439663
131	0.1762951406
132	0.1748156777
133	0.1732818095
134	0.171965144
135	0.1702979081
136	0.1690157457
137	0.1673889802
138	0.1664938147
139	0.1654180277
140	0.1639914272
141	0.1627795307
142	0.1614878682
143	0.1599649455
144	0.1584621003
145	0.1569798692
146	0.1560895271
147	0.1553029131
148	0.1542378343
149	0.152813461
150	0.1515598767
151	0.1505248982
152	0.1492858059
153	0.1479301063
154	0.1471418647
155	0.1462335518
156	0.1452412548
157	0.1441929982
158	0.143119177
159	0.1420600913
160	0.1411356238
161	0.1400978686
162	0.1392139959
163	0.1381285494
164	0.137316333
165	0.1361217539
166	0.1349421957
167	0.1339730666
168	0.1333901768
169	0.1324363483
170	0.1318225683
171	0.1313969917
172	0.1304655522
173	0.1293558753
174	0.1284456075
175	0.1273589318
176	0.1262869537
177	0.1252273516
178	0.1241829751
179	0.1233285081
180	0.1225443236
181	0.1216386453
182	0.1208646785
183	0.1198704077
184	0.1190594807
185	0.118186812
186	0.1172298629
187	0.116449281
188	0.1156767217
189	0.1148427794
190	0.114087788
191	0.1133283056
192	0.1126622076
193	0.1118978629
194	0.111017606
195	0.1102916409
196	0.1097262301
197	0.1091680871
198	0.1085516042
199	0.107806823
