Model Name,Baseline Accuracy,Optimized Accuracy,Baseline Recall,Optimized Recall,Baseline ROC-AUC,Optimized ROC-AUC,Best Threshold,Best Imbalance Strategy,Best Hyperparameters,Percentage Improvement
RandomForest,0.8597051403342794,0.6279367707347839,0.1756967039185174,0.8856981185457632,0.5730660220533802,0.8229981763466672,0.1,Original,"{""max_depth"": 11, ""min_samples_leaf"": 6, ""min_samples_split"": 2, ""n_estimators"": 104}",43.613151831571365
XGBoost,0.8628784295175024,0.6551166824345632,0.176686942990522,0.8685811288725421,0.5753244869073572,0.8257115899489877,0.1,Original,"{""colsample_bytree"": 0.9124217733388136, ""learning_rate"": 0.13394334706750485, ""max_depth"": 3, ""n_estimators"": 64, ""subsample"": 0.8803345035229626}",43.5210231338458
LightGBM,0.8655195521917376,0.6613450015767897,0.1679162540670533,0.8626396944405149,0.5731834001230451,0.8269232526702729,0.1,Original,"{""colsample_bytree"": 0.9124217733388136, ""learning_rate"": 0.13394334706750485, ""n_estimators"": 64, ""num_leaves"": 17, ""subsample"": 0.8803345035229626}",44.268527750935824
CatBoost,0.864041311888994,0.6524361400189215,0.173008912151648,0.8704201442919791,0.574458746501088,0.826545812484843,0.1,Original,"{""depth"": 6, ""iterations"": 84, ""l2_leaf_reg"": 5.190609389379256, ""learning_rate"": 0.08960785365368121}",43.88253595565676
