rank,accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,balanced_accuracy,mcc,model_name,cv_mean_roc_auc,cv_std_roc_auc
1,0.7978358561967833,0.297920892494929,0.33243740274437683,0.8731765406370944,0.3142341378618707,0.6028069716907356,0.1920509275729291,0.6028069716907356,0.19649861904433932,DecisionTree,0.6000004599867884,0.003945081242668596
2,0.8628784295175024,0.5234702430846605,0.176686942990522,0.9739620308241922,0.2641988365943945,0.5753244869073572,0.20720180449003855,0.575324486907357,0.2464270554731477,XGBoost,0.8214140931211853,0.00152285276092917
3,0.864041311888994,0.5375824175824175,0.17300891215164804,0.9759085808505279,0.2617722602739726,0.574458746501088,0.20823045338897594,0.574458746501088,0.24918075589562091,CatBoost,0.8255021235524749,0.0021404587653880065
4,0.8655195521917376,0.5578007518796992,0.16791625406705332,0.9784505461790368,0.25812765032075674,0.5731834001230451,0.2095972722479308,0.573183400123045,0.2528474393258135,LightGBM,0.8297994435613036,0.0021043928053787507
5,0.8597051403342794,0.4903276746940387,0.17569670391851747,0.9704353401882428,0.25869610497812956,0.5730660220533802,0.20099837287160086,0.5730660220533802,0.23235204500786552,RandomForest,0.8011929050133004,0.0030200086873287146
6,0.8620703248186692,0.5163669893960351,0.1584382515207243,0.9759772826161632,0.2424767265641914,0.5672077670684438,0.19906630375655165,0.5672077670684438,0.23009369385042333,LogisticRegression,0.8227728965565936,0.0013910058488875937
